# Overall Packet Count: 2650
# Overall Total Bytes: 406380
# Overall Average Packet Size (Bytes): 153.35
# Overall Capture Duration (Seconds): 2962.000
# Overall Average Rate (Mbps): 0.001

IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
10.1.2.2,10.1.2.3,1930,258140,129,0.016008682170542635,0.04604
172.30.0.12,192.168.254.2,364,96682,9,0.08593955555555556,0.15136
172.30.0.1,172.30.0.12,306,35166,43,0.006542511627906976,0.016152
172.30.0.12,8.8.8.8,22,14324,1,0.114592,0.114592
172.30.0.12,52.180.152.22,4,364,1,0.002912,0.002912
fe80::c8d8:36ff:fecf:937a,ff02::2,2,142,1,0.001136,0.001136
fe80::e0d4:cfff:fe97:e6da,ff02::2,2,142,1,0.001136,0.001136
fe80::d8a6:92ff:fe1d:3e66,ff02::2,2,142,2,0.000568,0.000576
fe80::d892:1bff:fe48:2dd2,ff02::2,2,142,1,0.001136,0.001136
fe80::c95:8bff:fed4:a025,ff02::2,2,142,1,0.001136,0.001136
fe80::3c20:5cff:feb3:b689,ff02::2,2,142,1,0.001136,0.001136
fe80::c0d5:34ff:fec9:ef84,ff02::2,2,142,1,0.001136,0.001136
fe80::8c33:1eff:fee3:1c6d,ff02::2,2,142,1,0.001136,0.001136
fe80::2c4b:3dff:feea:b48d,ff02::2,2,142,1,0.001136,0.001136
fe80::203a:aff:fe99:66e5,ff02::2,2,142,1,0.001136,0.001136
fe80::10eb:f5ff:fe06:90c1,ff02::2,2,142,1,0.001136,0.001136
fe80::f035:80ff:fec0:d0fd,ff02::2,2,142,1,0.001136,0.001136
