Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.6484375,155.3203125,67.19140625,1,5.0
apt-get,64.69921875,155.3671875,67.26953125,5,27.0
dbus-daemon,16.851803414096917,18.65234375,12.26171875,44,227.0
discern-ansible,1204.78125,1204.78125,10.453125,2,10.0
discern-file-so,1608.931914747807,1655.74609375,299.16796875,176,912.0
discern-jupyter,1205.33203125,1205.33203125,10.86328125,11,56.0
discern-logs-so,1205.4296875,1205.4296875,25.3515625,167,872.0
discern-network,1861.911835252193,1889.578125,116.9921875,176,912.0
discern-proc-so,1205.92578125,1205.92578125,16.59765625,154,801.0
dpkg,21.323486328125,21.46875,17.7734375,3,16.0
pip3,99.20830305232558,295.4609375,286.5,8,43.0
python3,582.374428986711,856.1640625,449.609375,56,301.0
python3.9,24.875,25.98828125,19.09375,1,5.0
systemd,161.1328125,223.96875,10.171875,1,5.0
systemd-journal,59.223202154503106,95.29296875,26.703125,62,322.0
systemd-resolve,23.53515625,23.59765625,11.74609375,13,70.0
