# Overall Packet Count: 20739
# Overall Total Bytes: 292596668
# Overall Average Packet Size (Bytes): 14108.52
# Overall Capture Duration (Seconds): 1037.000
# Overall Average Rate (Mbps): 2.257

IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
151.101.0.223,172.30.0.12,11669,250965435,22,91.26015818181818,167.852944
151.101.194.132,172.30.0.12,2246,21621922,5,34.5950752,84.822896
151.101.66.132,172.30.0.12,2979,15034316,6,20.045754666666667,59.140984
140.82.116.3,172.30.0.12,683,4467273,3,11.912728,19.727968
172.30.0.12,192.168.254.2,2972,487030,66,0.059033939393939396,0.269296
172.30.0.1,172.30.0.12,124,15766,12,0.010510666666666666,0.024912
137.110.222.27,172.30.0.12,12,1092,3,0.002912,0.002912
fe80::5802:6eff:fecd:a9d4,ff02::2,6,426,3,0.001136,0.001136
fe80::681f:57ff:fe17:5051,ff02::2,6,426,3,0.001136,0.001136
fe80::846e:71ff:fe54:3123,ff02::2,6,426,3,0.001136,0.001136
fe80::bc16:42ff:fe7b:7aeb,ff02::2,6,426,3,0.001136,0.001136
fe80::cc1e:1dff:fe35:8d0a,ff02::2,6,426,3,0.001136,0.001136
fe80::cc2c:19ff:fe05:d642,ff02::2,6,426,3,0.001136,0.001136
fe80::d4fd:cff:fe9b:e81b,ff02::2,6,426,3,0.001136,0.001136
fe80::e866:7ff:fea7:a59c,ff02::2,6,426,3,0.001136,0.001136
fe80::f8ab:f0ff:fe78:f1ef,ff02::2,6,426,3,0.001136,0.001136
