# Overall Packet Count: 177801
# Overall Total Bytes: 44755960
# Overall Average Packet Size (Bytes): 251.72
# Overall Capture Duration (Seconds): 1857.000
# Overall Average Rate (Mbps): 0.193

IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
172.30.0.12,192.168.254.2,161942,31351200,744,0.3371096774193548,31.543152
1.1.2.3,5.6.7.8,11406,12959552,722,0.14359614404432133,0.340176
172.30.0.1,172.30.0.12,4437,444072,662,0.005366429003021148,0.012928
fe80::840:faff:fe8b:cd5c,ff02::2,2,142,2,0.000568,0.000576
fe80::88c6:12ff:fe27:f3fb,ff02::2,2,142,1,0.001136,0.001136
fe80::a4c8:f6ff:fe57:f965,ff02::2,2,142,1,0.001136,0.001136
fe80::b050:51ff:fe80:afe1,ff02::2,2,142,1,0.001136,0.001136
fe80::c01a:58ff:fe8f:664c,ff02::2,2,142,1,0.001136,0.001136
fe80::d493:31ff:fe4c:48e5,ff02::2,2,142,1,0.001136,0.001136
fe80::d8b6:47ff:fe97:2775,ff02::2,2,142,1,0.001136,0.001136
fe80::d8e8:55ff:fe0c:ae0f,ff02::2,2,142,1,0.001136,0.001136
