Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,20.59458195993915,22.890625,16.90234375,98,493.0
discern-ansible,1205.34375,1205.34375,11.92578125,7,36.0
discern-file-so,1462.1234749571918,1591.4296875,292.80859375,28,146.0
discern-interfa,1435.265625,1435.265625,22.68359375,223,1142.0
discern-jupyter,1205.33203125,1205.33203125,10.99609375,2,10.0
discern-logs-so,1205.4296875,1205.4296875,20.89453125,248,1271.0
discern-network,1897.9609375,1897.9609375,89.7890625,248,1259.0
discern-proc-so,1205.92578125,1205.92578125,16.33984375,61,315.0
python3,676.8784044251825,1016.83984375,93.52734375,133,685.0
systemd-journal,72.23536548497964,81.3515625,20.1796875,192,982.0
