# Overall Packet Count: 364
# Overall Total Bytes: 68677
# Overall Average Packet Size (Bytes): 188.67
# Overall Capture Duration (Seconds): 1244.000
# Overall Average Rate (Mbps): 0.000

IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
172.30.0.15,192.168.254.2,199,54720,5,0.087552,0.150112
172.30.0.1,172.30.0.15,52,5775,4,0.01155,0.019784
172.30.0.15,64.79.100.196,8,728,2,0.002912,0.002912
fe80::43:9eff:fe48:de6e,ff02::2,6,426,3,0.001136,0.001136
fe80::cc30:bdff:fe8e:8aab,ff02::2,6,426,3,0.001136,0.001136
fe80::a454:3cff:fe02:f189,ff02::2,6,426,3,0.001136,0.001136
fe80::9c08:eaff:fe75:3da,ff02::2,6,426,3,0.001136,0.001136
fe80::7cb6:5aff:fe69:9067,ff02::2,6,426,3,0.001136,0.001136
fe80::7008:67ff:fe51:55e2,ff02::2,6,426,3,0.001136,0.001136
fe80::68c1:83ff:fefb:c270,ff02::2,6,426,3,0.001136,0.001136
fe80::643e:1ff:fea0:76ae,ff02::2,6,426,3,0.001136,0.001136
fe80::40d1:98ff:fed6:ee62,ff02::2,6,426,3,0.001136,0.001136
fe80::304f:99ff:feca:a305,ff02::2,6,426,3,0.001136,0.001136
fe80::2c3a:ceff:fe7f:b2f1,ff02::2,6,426,3,0.001136,0.001136
fe80::1c1d:bfff:fe8c:dbbc,ff02::2,6,426,3,0.001136,0.001136
fe80::18d2:84ff:feb3:6f2a,ff02::2,6,426,3,0.001136,0.001136
fe80::18a5:bff:fe10:37c8,ff02::2,6,426,3,0.001136,0.001136
fe80::ec42:3aff:fef4:45f7,ff02::2,6,426,3,0.001136,0.001136
fe80::b050:51ff:fe80:afe1,ff02::2,5,354,3,0.000944,0.001136
fe80::846e:71ff:fe54:3123,ff02::2,4,284,2,0.001136,0.001136
fe80::cc1e:1dff:fe35:8d0a,ff02::2,4,284,2,0.001136,0.001136
fe80::2c4b:3dff:feea:b48d,ff02::2,2,142,1,0.001136,0.001136
