timestamp,pid,ppid,real_uid,effective_uid,saved_uid,filesystem_uid,real_gid,effective_gid,saved_gid,filesystem_gid,vm_peak,vm_size,vm_hwm,rss_shmem,vm_stk,vm_data,threads,name,state,device_id,cpu
1759303690,340,1,103,103,103,103,109,109,109,109,249643008,249643008,235065344,N/A,135168,241913856,1,dbus-daemon,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.29446885717121823
1759303690,181,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,169082880,135483392,62377984,4096,135168,38531072,1,systemd-journal,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.21038966790853691
1759303690,3290,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1930887168,1930887168,37974016,N/A,135168,174923776,14,discern-network,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.6883196895074413
1759303690,96256,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,16646144,N/A,135168,45826048,4,discern-proc-so,R (running),client.bnsdq.ozxfs.rzona.kvugl,2.4918438016310724
1759303690,74250,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1647706112,1580597248,22192128,N/A,135168,82202624,5,discern-interfa,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.001702099308717885
1759303695,340,1,103,103,103,103,109,109,109,109,249643008,249643008,235065344,N/A,135168,241913856,1,dbus-daemon,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.2943904190932028
1759303695,181,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,169082880,135483392,62529536,4096,135168,38531072,1,systemd-journal,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.21052848016845746
1759303695,3290,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1930887168,1930887168,37974016,N/A,135168,174923776,14,discern-network,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.6882345385219001
1759303695,96256,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,16646144,N/A,135168,45826048,4,discern-proc-so,R (running),client.bnsdq.ozxfs.rzona.kvugl,2.4969131884361375
1759303695,74250,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1647706112,1580597248,22192128,N/A,135168,82202624,5,discern-interfa,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.0016971373983734697
1759303700,340,1,103,103,103,103,109,109,109,109,249643008,249643008,235065344,N/A,135168,241913856,1,dbus-daemon,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.2944631491658451
1759303700,181,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,169082880,135483392,62775296,4096,135168,38531072,1,systemd-journal,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.21081821942671633
1759303700,3290,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1930887168,1930887168,37974016,N/A,135168,174923776,14,discern-network,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.687992945893415
1759303700,96256,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,16646144,N/A,135168,45826048,4,discern-proc-so,R (running),client.bnsdq.ozxfs.rzona.kvugl,2.501655630173995
1759303700,74250,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1647706112,1580597248,22192128,N/A,135168,82202624,5,discern-interfa,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.0016921950852588988
1759303705,340,1,103,103,103,103,109,109,109,109,249643008,249643008,235065344,N/A,135168,241913856,1,dbus-daemon,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.2943857058355391
1759303705,181,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,169082880,135483392,62849024,4096,135168,38531072,1,systemd-journal,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.21080577074347048
1759303705,3290,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1930887168,1930887168,37974016,N/A,135168,174923776,14,discern-network,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.6879102777234464
1759303705,96256,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,16646144,N/A,135168,45826048,4,discern-proc-so,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,2.4981306078373935
1759303705,74250,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1647706112,1580597248,22192128,N/A,135168,82202624,5,discern-interfa,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.0016873091952749016
1759303711,340,1,103,103,103,103,109,109,109,109,249643008,249643008,235065344,N/A,135168,241913856,1,dbus-daemon,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.29445799075565343
1759303711,181,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,169082880,135483392,63033344,4096,135168,38531072,1,systemd-journal,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.2109433878448349
1759303711,3290,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1930887168,1930887168,37974016,N/A,135168,174923776,14,discern-network,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.687823826806031
1759303711,96256,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,16646144,N/A,135168,45826048,4,discern-proc-so,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,2.5066665876543515
1759303711,74250,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1647706112,1580597248,22192128,N/A,135168,82202624,5,discern-interfa,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.001682416854157867
1759303716,340,1,103,103,103,103,109,109,109,109,249643008,249643008,235065344,N/A,135168,241913856,1,dbus-daemon,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.2945331659274711
1759303716,181,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,169082880,135483392,63266816,4096,135168,38531072,1,systemd-journal,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.21123403841772262
1759303716,3290,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1930887168,1930887168,37974016,N/A,135168,174923776,14,discern-network,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.687589536268367
1759303716,96256,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,16646144,N/A,135168,45826048,4,discern-proc-so,R (running),client.bnsdq.ozxfs.rzona.kvugl,2.48343288296986
1759303716,74250,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1647706112,1580597248,22192128,N/A,135168,82202624,5,discern-interfa,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.0016776160492966575
1759303723,340,1,103,103,103,103,109,109,109,109,249643008,249643008,235065344,N/A,135168,241913856,1,dbus-daemon,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.29480603259233856
1759303723,181,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,169082880,135483392,63635456,4096,135168,38531072,1,systemd-journal,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.21160044572865266
1759303723,3290,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1930887168,1930887168,37974016,N/A,135168,174923776,14,discern-network,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.6874162501322946
1759303723,99651,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,16986112,N/A,135168,45826048,3,discern-proc-so,R (running),client.bnsdq.ozxfs.rzona.kvugl,15.824686959351371
1759303723,74250,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1647706112,1580597248,22192128,N/A,135168,82202624,5,discern-interfa,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.0016706621390040646
1759303728,340,1,103,103,103,103,109,109,109,109,249643008,249643008,235065344,N/A,135168,241913856,1,dbus-daemon,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.294877083560426
1759303728,181,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,169082880,143872000,66027520,4096,135168,38531072,1,systemd-journal,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.2118873737248805
1759303728,3290,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1930887168,1930887168,37974016,N/A,135168,174923776,14,discern-network,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,0.687328728247061
1759303728,99651,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,17190912,N/A,135168,45826048,3,discern-proc-so,S (sleeping),client.bnsdq.ozxfs.rzona.kvugl,4.420733268751373
