# Overall Packet Count: 7914
# Overall Total Bytes: 1391030
# Overall Average Packet Size (Bytes): 175.77
# Overall Capture Duration (Seconds): 960.000
# Overall Average Rate (Mbps): 0.012

IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
10.10.10.1,10.10.10.4,3573,596031,13,0.3667883076923077,0.679896
10.10.10.1,10.10.10.3,3344,548025,14,0.31315714285714286,0.54984
172.30.0.11,192.168.254.2,880,236076,25,0.07554432,0.152656
172.30.0.1,172.30.0.11,83,8404,6,0.011205333333333333,0.027248
142.202.190.19,172.30.0.11,4,364,1,0.002912,0.002912
fe80::bc18:1eff:fe89:c0cd,ff02::2,2,142,1,0.001136,0.001136
fe80::f4e8:d1ff:fe15:f57c,ff02::2,2,142,1,0.001136,0.001136
fe80::e0ed:35ff:fe43:456f,ff02::2,2,142,1,0.001136,0.001136
fe80::d03d:23ff:fec9:d7b9,ff02::2,2,142,1,0.001136,0.001136
fe80::cfb:f7ff:fe44:fc56,ff02::2,2,142,1,0.001136,0.001136
fe80::c81:c6ff:fe7b:2e45,ff02::2,2,142,1,0.001136,0.001136
fe80::bcd4:85ff:fe94:1cdd,ff02::2,2,142,1,0.001136,0.001136
fe80::ac96:9bff:fe26:148b,ff02::2,2,142,1,0.001136,0.001136
fe80::b0b1:c0ff:fe0b:eaae,ff02::2,2,142,1,0.001136,0.001136
fe80::a499:4fff:fe9f:4a57,ff02::2,2,142,1,0.001136,0.001136
fe80::a0a8:42ff:fe83:6804,ff02::2,2,142,1,0.001136,0.001136
fe80::9896:daff:fe45:9eab,ff02::2,2,142,1,0.001136,0.001136
fe80::94bf:c2ff:fe37:8277,ff02::2,2,142,1,0.001136,0.001136
fe80::44e2:b9ff:fe02:8561,ff02::2,2,142,1,0.001136,0.001136
fe80::f87f:8fff:febc:708f,ff02::2,2,142,1,0.001136,0.001136
