timestamp,device,length,link_protocol,network_protocol,transport_protocol,src_ip,dst_ip,src_port,dst_port
1759181412,any,1439,N/A,IPv4,TCP,10.10.10.200,10.10.10.109,41384,1340
1759181412,any,68,N/A,IPv4,TCP,10.10.10.109,10.10.10.200,1340,41384
1759181412,any,184,N/A,IPv4,TCP,10.10.10.109,10.10.10.200,1340,41384
1759181412,any,68,N/A,IPv4,TCP,10.10.10.200,10.10.10.109,41384,1340
1759181412,any,68,N/A,IPv4,TCP,10.10.10.109,10.10.10.200,1340,41384
1759181412,any,328,N/A,IPv4,TCP,10.10.10.200,10.10.10.109,39526,1337
1759181412,any,68,N/A,IPv4,TCP,10.10.10.109,10.10.10.200,1337,39526
1759181412,any,68,N/A,IPv4,TCP,10.10.10.109,10.10.10.200,1337,39526
1759181412,eth1,74,Ethernet,IPv4,TCP,10.10.10.109,10.10.10.200,1340,41384
1759181412,eth1,66,Ethernet,IPv4,TCP,10.10.10.200,10.10.10.109,41384,1340
1759181412,eth1,267,Ethernet,IPv4,TCP,10.10.10.200,10.10.10.109,41384,1340
1759181412,eth1,1437,Ethernet,IPv4,TCP,10.10.10.200,10.10.10.109,41384,1340
1759181412,eth1,66,Ethernet,IPv4,TCP,10.10.10.109,10.10.10.200,1340,41384
1759181412,eth1,66,Ethernet,IPv4,TCP,10.10.10.109,10.10.10.200,1340,41384
1759181412,eth1,182,Ethernet,IPv4,TCP,10.10.10.109,10.10.10.200,1340,41384
1759181412,eth1,66,Ethernet,IPv4,TCP,10.10.10.200,10.10.10.109,41384,1340
1759181412,eth1,157,Ethernet,IPv4,TCP,10.10.10.109,10.10.10.200,1340,41384
1759181412,eth1,66,Ethernet,IPv4,TCP,10.10.10.200,10.10.10.109,41384,1340
1759181412,eth1,66,Ethernet,IPv4,TCP,10.10.10.109,10.10.10.200,1340,41384
1759181412,eth1,326,Ethernet,IPv4,TCP,10.10.10.200,10.10.10.109,39526,1337
1759181412,eth1,66,Ethernet,IPv4,TCP,10.10.10.109,10.10.10.200,1337,39526
