timestamp,device,length,link_protocol,network_protocol,transport_protocol,src_ip,dst_ip,src_port,dst_port
1759266786,any,58,ARP,N/A,N/A,172.30.0.90,172.30.0.122,0,0
1759266787,any,92,N/A,IPv6,ICMP,fe80::7086:a1ff:fe82:22,ff02::179,0,0
1759266787,eth0,90,Ethernet,IPv6,ICMP,fe80::7086:a1ff:fe82:22,ff02::179,0,0
1759266787,eth0,56,Ethernet,IPv4,N/A,172.30.0.43,224.0.0.22,0,0
1759266787,eth0,56,Ethernet,IPv4,N/A,172.30.0.90,224.0.0.22,0,0
1759266787,any,58,N/A,IPv4,N/A,172.30.0.90,224.0.0.22,0,0
1759266787,any,66,N/A,IPv4,UDP,172.30.0.43,224.0.0.252,5355,5355
1759266787,eth0,64,Ethernet,IPv4,UDP,172.30.0.43,224.0.0.252,5355,5355
1759266787,eth0,362,Ethernet,IPv4,UDP,0.0.0.0,255.255.255.255,68,67
1759266787,any,364,N/A,IPv4,UDP,0.0.0.0,255.255.255.255,68,67
1759266787,any,376,N/A,IPv4,UDP,0.0.0.0,255.255.255.255,68,67
1759266787,eth0,374,Ethernet,IPv4,UDP,0.0.0.0,255.255.255.255,68,67
1759266787,eth0,110,Ethernet,IPv6,ICMP,fe80::7086:a1ff:fe82:22,ff02::179,0,0
1759266787,eth0,56,Ethernet,IPv4,N/A,172.30.0.43,224.0.0.22,0,0
1759266787,any,112,N/A,IPv6,ICMP,fe80::7086:a1ff:fe82:22,ff02::179,0,0
1759266787,any,58,N/A,IPv4,N/A,172.30.0.43,224.0.0.22,0,0
1759266787,any,58,N/A,IPv4,N/A,172.30.0.186,224.0.0.22,0,0
1759266787,eth0,56,Ethernet,IPv4,N/A,172.30.0.186,224.0.0.22,0,0
1759266787,any,112,N/A,IPv6,ICMP,fe80::9045:70ff:fe9a:149,ff02::179,0,0
1759266787,eth0,110,Ethernet,IPv6,ICMP,fe80::9045:70ff:fe9a:149,ff02::179,0,0
1759266787,eth0,56,Ethernet,IPv4,N/A,172.30.0.97,224.0.0.22,0,0
1759266787,any,58,N/A,IPv4,N/A,172.30.0.97,224.0.0.22,0,0
1759266787,eth0,110,Ethernet,IPv6,ICMP,fe80::7086:a1ff:fe82:22,ff02::179,0,0
1759266787,any,112,N/A,IPv6,ICMP,fe80::7086:a1ff:fe82:22,ff02::179,0,0
1759266787,eth0,110,Ethernet,IPv6,ICMP,fe80::b4fa:d3ff:fe5d:187,ff02::179,0,0
1759266787,any,112,N/A,IPv6,ICMP,fe80::b4fa:d3ff:fe5d:187,ff02::179,0,0
1759266787,eth0,90,Ethernet,IPv6,ICMP,fe80::d827:8cff:fe46:180,ff02::179,0,0
1759266787,any,92,N/A,IPv6,ICMP,fe80::d827:8cff:fe46:180,ff02::179,0,0
1759266787,any,58,N/A,IPv4,N/A,172.30.0.245,224.0.0.22,0,0
1759266787,eth0,56,Ethernet,IPv4,N/A,172.30.0.245,224.0.0.22,0,0
1759266787,any,72,N/A,IPv4,UDP,172.30.0.245,224.0.0.252,5355,5355
1759266787,eth0,70,Ethernet,IPv4,UDP,172.30.0.245,224.0.0.252,5355,5355
1759266787,eth0,90,Ethernet,IPv6,UDP,fe80::d827:8cff:fe46:180,ff02::1:52,5355,5355
1759266787,any,92,N/A,IPv6,UDP,fe80::d827:8cff:fe46:180,ff02::1:52,5355,5355
1759266787,eth0,56,Ethernet,N/A,N/A,N/A,N/A,0,0
1759266787,any,58,ARP,N/A,N/A,172.30.0.43,172.30.0.122,0,0
1759266787,any,56,N/A,IPv4,N/A,172.30.0.163,224.0.0.22,0,0
1759266787,eth0,54,Ethernet,IPv4,N/A,172.30.0.163,224.0.0.22,0,0
1759266787,eth0,70,Ethernet,IPv6,ICMP,fe80::48f2:29ff:fe25:53,ff02::204,0,0
1759266787,any,72,N/A,IPv6,ICMP,fe80::48f2:29ff:fe25:53,ff02::204,0,0
1759266787,any,370,N/A,IPv4,UDP,0.0.0.0,255.255.255.255,68,67
1759266787,eth0,368,Ethernet,IPv4,UDP,0.0.0.0,255.255.255.255,68,67
1759266787,eth0,380,Ethernet,IPv4,UDP,0.0.0.0,255.255.255.255,68,67
1759266787,any,382,N/A,IPv4,UDP,0.0.0.0,255.255.255.255,68,67
1759266787,any,112,N/A,IPv6,ICMP,fe80::d827:8cff:fe46:180,ff02::179,0,0
1759266787,eth0,110,Ethernet,IPv6,ICMP,fe80::d827:8cff:fe46:180,ff02::179,0,0
1759266787,eth0,56,Ethernet,IPv4,N/A,172.30.0.245,224.0.0.22,0,0
1759266787,eth0,56,Ethernet,N/A,N/A,N/A,N/A,0,0
1759266787,any,58,ARP,N/A,N/A,172.30.0.245,172.30.0.122,0,0
1759266787,any,72,N/A,IPv6,ICMP,fe80::b4fa:d3ff:fe5d:187,ff02::204,0,0
1759266787,eth0,70,Ethernet,IPv6,ICMP,fe80::b4fa:d3ff:fe5d:187,ff02::204,0,0
1759266787,any,92,N/A,IPv6,ICMP,fe80::84cf:4eff:fe9d:143,ff02::179,0,0
1759266787,eth0,90,Ethernet,IPv6,ICMP,fe80::84cf:4eff:fe9d:143,ff02::179,0,0
1759266787,eth0,56,Ethernet,IPv4,N/A,172.30.0.165,224.0.0.22,0,0
1759266787,eth0,70,Ethernet,IPv6,ICMP,fe80::8017:d4ff:fe2d:241,ff02::204,0,0
1759266787,eth1,70,Ethernet,IPv6,ICMP,fe80::8cb0:deff:feb7:226,ff02::204,0,0
1759266787,any,72,N/A,IPv6,ICMP,fe80::8cb0:deff:feb7:226,ff02::204,0,0
1759266787,eth0,90,Ethernet,IPv6,ICMP,fe80::686f:25ff:fe9b:145,ff02::179,0,0
1759266787,eth0,73,Ethernet,IPv4,UDP,172.30.0.165,224.0.0.252,5355,5355
1759266787,any,92,N/A,IPv6,ICMP,fe80::686f:25ff:fe9b:145,ff02::179,0,0
1759266787,any,75,N/A,IPv4,UDP,172.30.0.165,224.0.0.252,5355,5355
1759266787,any,373,N/A,IPv4,UDP,0.0.0.0,255.255.255.255,68,67
1759266787,eth0,371,Ethernet,IPv4,UDP,0.0.0.0,255.255.255.255,68,67
1759266787,eth0,383,Ethernet,IPv4,UDP,0.0.0.0,255.255.255.255,68,67
1759266787,any,385,N/A,IPv4,UDP,0.0.0.0,255.255.255.255,68,67
1759266787,any,112,N/A,IPv6,ICMP,fe80::84cf:4eff:fe9d:143,ff02::179,0,0
1759266787,eth0,110,Ethernet,IPv6,ICMP,fe80::84cf:4eff:fe9d:143,ff02::179,0,0
1759266787,eth0,56,Ethernet,IPv4,N/A,172.30.0.165,224.0.0.22,0,0
