timestamp,pid,ppid,real_uid,effective_uid,saved_uid,filesystem_uid,real_gid,effective_gid,saved_gid,filesystem_gid,vm_peak,vm_size,vm_hwm,vm_stk,vm_data,threads,name,state,device_id,cpu
1759262637,77643,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1332092928,1332092928,136593408,135168,167858176,4,discern-file-so,D (disk sleep),nginx1.bnsdq.ozxfs.laefh.kvugl,39.585134932382466
1759262637,67364,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,17338368,135168,45826048,4,discern-proc-so,S (sleeping),nginx1.bnsdq.ozxfs.laefh.kvugl,2.68139891882757
1759262637,3296,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1922756608,1922756608,54099968,135168,183574528,13,discern-network,S (sleeping),nginx1.bnsdq.ozxfs.laefh.kvugl,2.053533355077857
1759262637,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234807296,169213952,10645504,1056768,19554304,1,systemd,S (sleeping),nginx1.bnsdq.ozxfs.laefh.kvugl,1.5545107532934652
1759262637,77630,1,101,101,101,101,102,102,102,102,16703488,16703488,7487488,135168,765952,1,systemd-network,S (sleeping),nginx1.bnsdq.ozxfs.laefh.kvugl,0.7355340442552071
1759262642,77643,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1400123392,1400123392,146739200,135168,198139904,4,discern-file-so,R (running),nginx1.bnsdq.ozxfs.laefh.kvugl,69.921294506134
1759262642,67364,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,17338368,135168,45826048,4,discern-proc-so,S (sleeping),nginx1.bnsdq.ozxfs.laefh.kvugl,2.6799707673830326
1759262643,3296,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1922756608,1922756608,54099968,135168,183574528,13,discern-network,S (sleeping),nginx1.bnsdq.ozxfs.laefh.kvugl,2.0525597852388437
1759262643,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234807296,169508864,10645504,1056768,19849216,1,systemd,S (sleeping),nginx1.bnsdq.ozxfs.laefh.kvugl,1.5535149134920176
1759262643,77693,1,101,101,101,101,102,102,102,102,16703488,16703488,7163904,135168,765952,1,systemd-network,S (sleeping),nginx1.bnsdq.ozxfs.laefh.kvugl,0.7509423073761272
1759262648,77643,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1534545920,1534545920,235266048,135168,286425088,4,discern-file-so,S (sleeping),nginx1.bnsdq.ozxfs.laefh.kvugl,73.4873141185309
1759262648,67364,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,17338368,135168,45826048,4,discern-proc-so,R (running),nginx1.bnsdq.ozxfs.laefh.kvugl,2.6773985649630956
1759262648,3296,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1922756608,1922756608,54099968,135168,183574528,13,discern-network,S (sleeping),nginx1.bnsdq.ozxfs.laefh.kvugl,2.0517988266504616
1759262648,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234807296,169238528,10645504,1056768,19578880,1,systemd,S (sleeping),nginx1.bnsdq.ozxfs.laefh.kvugl,1.5531015719526708
1759262648,77764,1,101,101,101,101,102,102,102,102,16695296,16695296,7364608,135168,757760,1,systemd-network,S (sleeping),nginx1.bnsdq.ozxfs.laefh.kvugl,0.9414789332116613
1759262653,77643,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1534545920,1534545920,235266048,135168,286425088,4,discern-file-so,S (sleeping),nginx1.bnsdq.ozxfs.laefh.kvugl,68.88982221199579
1759262653,67364,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,17338368,135168,45826048,4,discern-proc-so,S (sleeping),nginx1.bnsdq.ozxfs.laefh.kvugl,2.674648796403491
1759262653,3296,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1922756608,1922756608,54099968,135168,183574528,13,discern-network,S (sleeping),nginx1.bnsdq.ozxfs.laefh.kvugl,2.0508121353055926
1759262653,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234807296,169238528,10645504,1056768,19578880,1,systemd,S (sleeping),nginx1.bnsdq.ozxfs.laefh.kvugl,1.5520967906281535
1759262653,77814,1,101,101,101,101,102,102,102,102,16703488,16703488,7327744,135168,765952,1,systemd-network,S (sleeping),nginx1.bnsdq.ozxfs.laefh.kvugl,0.7186858650292633
1759262658,67364,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,17338368,135168,45826048,4,discern-proc-so,R (running),nginx1.bnsdq.ozxfs.laefh.kvugl,2.675640831530352
