Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,46.65749858771569,51.3359375,44.3046875,236,1217.0
discern-ansible,1205.34375,1205.34375,10.9453125,4,21.0
discern-cpu-sor,1205.359375,1205.359375,10.26171875,2,10.0
discern-file-so,1587.2116830912862,1591.6796875,296.71484375,236,1205.0
discern-jupyter,1205.33203125,1205.33203125,10.16015625,1,5.0
discern-logs-so,1205.4296875,1205.4296875,31.02734375,236,1221.0
discern-network,1905.96484375,1905.96484375,103.5390625,236,1209.0
discern-proc-so,1205.935489987864,1206.17578125,15.953125,80,412.0
python3,669.9403271754144,936.55859375,93.4765625,141,724.0
systemd-journal,135.33984375,135.33984375,21.75390625,8,41.0
