timestamp,device_id,interface_name,action,hardware_addr,ips
1759249750,victim1.bnsdq.ozxfs.bomyo.kvugl,nfqueue,Added,N/A,
1759249750,victim1.bnsdq.ozxfs.bomyo.kvugl,dbus-system,Added,N/A,
1759249750,victim1.bnsdq.ozxfs.bomyo.kvugl,dbus-session,Added,N/A,
1759249750,victim1.bnsdq.ozxfs.bomyo.kvugl,lo,Added,N/A,127.0.0.1; ::105
1759249750,victim1.bnsdq.ozxfs.bomyo.kvugl,eth0,Added,3a:ca:52:41:ce:ab,172.30.0.23; fe80::38ca:52ff:fe41:23
1759249750,victim1.bnsdq.ozxfs.bomyo.kvugl,eth2,Added,02:10:d2:a0:f8:bc,10.0.3.150; fe80::10:d2ff:fea0:235
1759249750,victim1.bnsdq.ozxfs.bomyo.kvugl,nflog,Added,N/A,
1759249750,victim1.bnsdq.ozxfs.bomyo.kvugl,eth1,Added,b2:0d:59:1a:d9:4d,10.10.10.200; fe80::b00d:59ff:fe1a:95
1759249750,victim1.bnsdq.ozxfs.bomyo.kvugl,any,Added,N/A,
1759249750,victim1.bnsdq.ozxfs.bomyo.kvugl,bluetooth-monitor,Added,N/A,
