# Overall Packet Count: 10558
# Overall Total Bytes: 1837486
# Overall Average Packet Size (Bytes): 174.04
# Overall Capture Duration (Seconds): 1234.000
# Overall Average Rate (Mbps): 0.012

IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
172.30.0.12,192.168.254.2,7042,1019048,22,0.3705629090909091,0.947072
10.10.10.1,10.10.10.2,3274,794416,25,0.25421312,1.474832
172.30.0.1,172.30.0.12,101,11136,9,0.009898666666666667,0.033512
172.30.0.12,34.117.59.81,16,2814,1,0.022512,0.022512
104.26.13.205,172.30.0.12,18,2316,1,0.018528,0.018528
172.30.0.12,198.137.202.56,8,728,2,0.002912,0.002912
fe80::7008:67ff:fe51:55e2,ff02::2,6,426,3,0.001136,0.001136
fe80::ec42:3aff:fef4:45f7,ff02::2,6,426,3,0.001136,0.001136
fe80::cc30:bdff:fe8e:8aab,ff02::2,6,426,3,0.001136,0.001136
fe80::a454:3cff:fe02:f189,ff02::2,6,426,3,0.001136,0.001136
fe80::9c08:eaff:fe75:3da,ff02::2,6,426,3,0.001136,0.001136
fe80::8818:95ff:fe7b:2e6d,ff02::2,6,426,3,0.001136,0.001136
fe80::7420:16ff:fec3:bd75,ff02::2,6,426,3,0.001136,0.001136
fe80::68c1:83ff:fefb:c270,ff02::2,6,426,3,0.001136,0.001136
fe80::43:9eff:fe48:de6e,ff02::2,6,426,3,0.001136,0.001136
fe80::40d1:98ff:fed6:ee62,ff02::2,6,426,4,0.000852,0.001136
fe80::304f:99ff:feca:a305,ff02::2,6,426,3,0.001136,0.001136
fe80::1c1d:bfff:fe8c:dbbc,ff02::2,6,426,3,0.001136,0.001136
fe80::f8b8:47ff:fe86:c4d9,ff02::2,6,426,3,0.001136,0.001136
fe80::846e:71ff:fe54:3123,ff02::2,4,284,2,0.001136,0.001136
fe80::9431:17ff:fe34:a5f9,ff02::2,4,284,2,0.001136,0.001136
fe80::94bf:c2ff:fe37:8277,ff02::2,4,284,2,0.001136,0.001136
fe80::2001:7eff:fe9e:807d,ff02::2,4,284,2,0.001136,0.001136
fe80::cc1e:1dff:fe35:8d0a,ff02::2,3,212,2,0.000848,0.001136
fe80::2c4b:3dff:feea:b48d,ff02::2,2,142,1,0.001136,0.001136
