timestamp,device_id,interface_name,action,hardware_addr,ips,malicious
1759309666,learner-attacker.bnsdq.ozxfs.fkiya-owcwb.kvugl,eth1,Added,c6:af:a3:2e:0f:c6,10.0.1.111; fe80::c4af:a3ff:fe2e:91,0
1759309666,learner-attacker.bnsdq.ozxfs.fkiya-owcwb.kvugl,docker0,Added,02:42:59:e5:5c:56,172.17.0.207; fe80::42:59ff:fee5:184,0
1759309666,learner-attacker.bnsdq.ozxfs.fkiya-owcwb.kvugl,any,Added,N/A,,0
1759309666,learner-attacker.bnsdq.ozxfs.fkiya-owcwb.kvugl,nfqueue,Added,N/A,,0
1759309666,learner-attacker.bnsdq.ozxfs.fkiya-owcwb.kvugl,lo,Added,N/A,127.0.0.1; ::105,0
1759309666,learner-attacker.bnsdq.ozxfs.fkiya-owcwb.kvugl,eth0,Added,4a:83:cd:51:50:e0,172.30.0.220; fe80::4883:cdff:fe51:99,0
1759309666,learner-attacker.bnsdq.ozxfs.fkiya-owcwb.kvugl,bluetooth-monitor,Added,N/A,,0
1759309666,learner-attacker.bnsdq.ozxfs.fkiya-owcwb.kvugl,nflog,Added,N/A,,0
1759309666,learner-attacker.bnsdq.ozxfs.fkiya-owcwb.kvugl,dbus-system,Added,N/A,,0
1759309666,learner-attacker.bnsdq.ozxfs.fkiya-owcwb.kvugl,dbus-session,Added,N/A,,0
1759309680,learner-attacker.bnsdq.ozxfs.fkiya-owcwb.kvugl,eth0,Added,b2:b5:44:ea:37:2e,172.30.0.163; fe80::b0b5:44ff:feea:219,1
1759309680,learner-attacker.bnsdq.ozxfs.fkiya-owcwb.kvugl,eth1,Added,7a:0a:a9:e6:62:83,10.10.10.109; fe80::780a:a9ff:fee6:89,1
1759309680,learner-attacker.bnsdq.ozxfs.fkiya-owcwb.kvugl,eth2,Added,2a:c8:0a:40:4d:4a,10.0.1.111; fe80::28c8:aff:fe40:170,1
1759309680,learner-attacker.bnsdq.ozxfs.fkiya-owcwb.kvugl,any,Added,N/A,,1
1759309680,learner-attacker.bnsdq.ozxfs.fkiya-owcwb.kvugl,nfqueue,Added,N/A,,1
1759309680,learner-attacker.bnsdq.ozxfs.fkiya-owcwb.kvugl,dbus-session,Added,N/A,,1
1759309680,learner-attacker.bnsdq.ozxfs.fkiya-owcwb.kvugl,lo,Added,N/A,127.0.0.1; ::105,1
1759309680,learner-attacker.bnsdq.ozxfs.fkiya-owcwb.kvugl,bluetooth-monitor,Added,N/A,,1
1759309680,learner-attacker.bnsdq.ozxfs.fkiya-owcwb.kvugl,nflog,Added,N/A,,1
1759309680,learner-attacker.bnsdq.ozxfs.fkiya-owcwb.kvugl,dbus-system,Added,N/A,,1
1759310266,learner-attacker.bnsdq.ozxfs.fkiya-owcwb.kvugl,veth18b53b2,Added,4e:12:66:b7:b2:c9,fe80::4c12:66ff:feb7:156,0
