timestamp,pid,ppid,real_uid,effective_uid,saved_uid,filesystem_uid,real_gid,effective_gid,saved_gid,filesystem_gid,vm_peak,vm_size,vm_hwm,vm_stk,vm_data,threads,name,state,device_id,cpu,malicious
1759303691,74883,1,0,0,0,0,0,0,0,0,1264619520,1264619520,17166336,135168,45826048,4,discern-proc-so,R (running),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,2.5042742232808535,0
1759303691,1,0,0,0,0,0,0,0,0,0,234930176,169377792,10833920,1056768,19718144,1,systemd,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,1.5413760784007453,0
1759303691,3366,1,0,0,0,0,0,0,0,0,1954459648,1931546624,36614144,135168,175190016,14,discern-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,1.3189431116991566,0
1759303691,91854,1,101,101,101,101,102,102,102,102,16568320,16564224,7266304,135168,626688,1,systemd-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,1.1687953702986842,0
1759303691,91791,1,1001,1001,1001,1001,1001,1001,1001,1001,15548416,15544320,8642560,135168,761856,1,systemd,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,0.5389012203120301,0
1759303696,74883,1,0,0,0,0,0,0,0,0,1264619520,1264619520,17166336,135168,45826048,4,discern-proc-so,R (running),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,2.504317669340226,0
1759303696,91909,1,101,101,101,101,102,102,102,102,16568320,16564224,7213056,135168,626688,1,systemd-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,1.7294326487241605,0
1759303696,1,0,0,0,0,0,0,0,0,0,234930176,169377792,10833920,1056768,19718144,1,systemd,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,1.5422909841366748,0
1759303696,3366,1,0,0,0,0,0,0,0,0,1954459648,1931546624,36614144,135168,175190016,14,discern-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,1.318349331294507,0
1759303696,380,1,103,103,103,103,109,109,109,109,251293696,251293696,236625920,135168,243564544,1,dbus-daemon,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,0.2923357757520664,0
1759303701,74883,1,0,0,0,0,0,0,0,0,1264619520,1264619520,17166336,135168,45826048,4,discern-proc-so,R (running),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,2.5043143280945226,0
1759303701,1,0,0,0,0,0,0,0,0,0,234930176,169357312,10833920,1056768,19697664,1,systemd,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,1.5419866507092015,0
1759303701,3366,1,0,0,0,0,0,0,0,0,1954459648,1931546624,36614144,135168,175190016,14,discern-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,1.3179069630127276,0
1759303701,91973,1,101,101,101,101,102,102,102,102,16568320,16564224,7421952,135168,626688,1,systemd-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,0.6831442305222577,0
1759303701,380,1,103,103,103,103,109,109,109,109,251293696,251293696,236625920,135168,243564544,1,dbus-daemon,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,0.29256042770210133,0
1759303707,74883,1,0,0,0,0,0,0,0,0,1264619520,1264619520,17166336,135168,45826048,4,discern-proc-so,R (running),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,2.5036160938339163,0
1759303707,1,0,0,0,0,0,0,0,0,0,234930176,169357312,10833920,1056768,19697664,1,systemd,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,1.5424473285575506,0
1759303707,3366,1,0,0,0,0,0,0,0,0,1954459648,1931546624,36614144,135168,175190016,14,discern-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,1.3171612509037578,0
1759303707,92042,1,101,101,101,101,102,102,102,102,16568320,16568320,7421952,135168,630784,1,systemd-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,0.6476511077058623,0
1759303707,380,1,103,103,103,103,109,109,109,109,251293696,251293696,236625920,135168,243564544,1,dbus-daemon,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,0.29263468531859405,0
1759303712,74883,1,0,0,0,0,0,0,0,0,1264619520,1264619520,17166336,135168,45826048,4,discern-proc-so,R (running),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,2.5051143737505814,0
1759303712,1,0,0,0,0,0,0,0,0,0,234930176,169238528,10833920,1056768,19578880,1,systemd,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,1.5422936035347172,0
1759303712,3366,1,0,0,0,0,0,0,0,0,1954459648,1931546624,36614144,135168,175190016,14,discern-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,1.3167196642821348,0
1759303712,92091,1,101,101,101,101,102,102,102,102,16568320,16564224,7213056,135168,626688,1,systemd-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,0.700103004451461,0
1759303712,380,1,103,103,103,103,109,109,109,109,251293696,251293696,236625920,135168,243564544,1,dbus-daemon,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,0.29255585951484653,0
1759303717,74883,1,0,0,0,0,0,0,0,0,1264619520,1264619520,17166336,135168,45826048,4,discern-proc-so,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,2.505191343197982,0
1759303717,1,0,0,0,0,0,0,0,0,0,234930176,169238528,10833920,1056768,19578880,1,systemd,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,1.5421514522696973,0
1759303717,3366,1,0,0,0,0,0,0,0,0,1954459648,1931546624,36614144,135168,175190016,14,discern-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,1.3162887065856503,0
1759303717,92156,1,101,101,101,101,102,102,102,102,16568320,16564224,7401472,135168,626688,1,systemd-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,0.6766630807312701,0
1759303717,380,1,103,103,103,103,109,109,109,109,251293696,251293696,236625920,135168,243564544,1,dbus-daemon,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,0.29263053143072343,0
1759303722,74883,1,0,0,0,0,0,0,0,0,1264619520,1264619520,17166336,135168,45826048,4,discern-proc-so,R (running),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,2.506741174121136,0
1759303722,1,0,0,0,0,0,0,0,0,0,234930176,169373696,10833920,1056768,19714048,1,systemd,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,1.5421578536979859,0
1759303722,3366,1,0,0,0,0,0,0,0,0,1954459648,1931546624,36614144,135168,175190016,14,discern-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,1.3157011021382856,0
1759303722,92211,1,101,101,101,101,102,102,102,102,16568320,16564224,7221248,135168,626688,1,systemd-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,0.5363313364492458,0
1759303722,380,1,103,103,103,103,109,109,109,109,251293696,251293696,236625920,135168,243564544,1,dbus-daemon,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,0.29255346902311724,0
1759303727,74883,1,0,0,0,0,0,0,0,0,1264619520,1264619520,17166336,135168,45826048,4,discern-proc-so,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,2.505936440931841,0
1759303727,1,0,0,0,0,0,0,0,0,0,234930176,169373696,10833920,1056768,19714048,1,systemd,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-kvhkg.kvugl,1.5421506656295139,0
