timestamp,device_id,interface_name,action,hardware_addr,ips,malicious
1759305718,client-compromised.bnsdq.ozxfs.rzona-vmdrv.kvugl,eth0,Added,0a:f8:b2:c9:8a:8d,172.30.0.220; fe80::8f8:b2ff:fec9:65,0
1759305718,client-compromised.bnsdq.ozxfs.rzona-vmdrv.kvugl,eth1,Added,2a:3f:b1:79:69:63,1.1.2.134; fe80::283f:b1ff:fe79:38,0
1759305718,client-compromised.bnsdq.ozxfs.rzona-vmdrv.kvugl,bluetooth-monitor,Added,N/A,,0
1759305718,client-compromised.bnsdq.ozxfs.rzona-vmdrv.kvugl,nflog,Added,N/A,,0
1759305718,client-compromised.bnsdq.ozxfs.rzona-vmdrv.kvugl,lo,Added,N/A,127.0.0.1; ::105,0
1759305718,client-compromised.bnsdq.ozxfs.rzona-vmdrv.kvugl,eth2,Added,42:04:9c:27:65:00,10.0.2.116; fe80::4004:9cff:fe27:239,0
1759305718,client-compromised.bnsdq.ozxfs.rzona-vmdrv.kvugl,any,Added,N/A,,0
1759305718,client-compromised.bnsdq.ozxfs.rzona-vmdrv.kvugl,nfqueue,Added,N/A,,0
1759305718,client-compromised.bnsdq.ozxfs.rzona-vmdrv.kvugl,dbus-system,Added,N/A,,0
1759305718,client-compromised.bnsdq.ozxfs.rzona-vmdrv.kvugl,dbus-session,Added,N/A,,0
1759305935,client-compromised.bnsdq.ozxfs.rzona-vmdrv.kvugl,bluetooth-monitor,Added,N/A,,1
1759305935,client-compromised.bnsdq.ozxfs.rzona-vmdrv.kvugl,nfqueue,Added,N/A,,1
1759305935,client-compromised.bnsdq.ozxfs.rzona-vmdrv.kvugl,dbus-system,Added,N/A,,1
1759305935,client-compromised.bnsdq.ozxfs.rzona-vmdrv.kvugl,eth2,Added,92:ab:ce:ef:69:d5,10.0.2.116; fe80::90ab:ceff:feef:30,1
1759305935,client-compromised.bnsdq.ozxfs.rzona-vmdrv.kvugl,any,Added,N/A,,1
1759305935,client-compromised.bnsdq.ozxfs.rzona-vmdrv.kvugl,eth1,Added,4e:a7:41:d2:1f:3d,10.10.10.68; fe80::4ca7:41ff:fed2:201,1
1759305935,client-compromised.bnsdq.ozxfs.rzona-vmdrv.kvugl,nflog,Added,N/A,,1
1759305935,client-compromised.bnsdq.ozxfs.rzona-vmdrv.kvugl,dbus-session,Added,N/A,,1
1759305935,client-compromised.bnsdq.ozxfs.rzona-vmdrv.kvugl,lo,Added,N/A,127.0.0.1; ::105,1
1759305935,client-compromised.bnsdq.ozxfs.rzona-vmdrv.kvugl,eth0,Added,ca:ab:64:3c:bc:7e,172.30.0.220; fe80::c8ab:64ff:fe3c:227,1
