timestamp,pid,ppid,real_uid,effective_uid,saved_uid,filesystem_uid,real_gid,effective_gid,saved_gid,filesystem_gid,vm_peak,vm_size,vm_hwm,vm_stk,vm_data,threads,name,state,device_id,cpu,malicious
1759299864,42755,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,kworker/u2,I (idle),attacker.bnsdq.ozxfs.rzona-owcwb.kvugl,0.0,0
1759299864,44189,44188,1001,1001,1001,1001,1001,1001,1001,1001,172347392,172347392,3547136,1060864,19853312,1,(sd-pam),S (sleeping),attacker.bnsdq.ozxfs.rzona-owcwb.kvugl,0.0,0
1759299864,44164,202,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23183360,22118400,3948544,135168,868352,1,systemd-udevd,S (sleeping),attacker.bnsdq.ozxfs.rzona-owcwb.kvugl,0.0,0
1759299864,37460,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,kworker/0,I (idle),attacker.bnsdq.ozxfs.rzona-owcwb.kvugl,0.009552254121384893,0
1759299864,44154,1,101,101,101,101,102,102,102,102,16568320,16560128,7307264,135168,622592,1,systemd-network,S (sleeping),attacker.bnsdq.ozxfs.rzona-owcwb.kvugl,0.6761328933369081,0
1759299864,43671,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,kworker/0,I (idle),attacker.bnsdq.ozxfs.rzona-owcwb.kvugl,0.024132864269228047,0
1759299864,42753,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,kworker/u2,I (idle),attacker.bnsdq.ozxfs.rzona-owcwb.kvugl,0.0,0
1759299864,42754,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,kworker/u2,I (idle),attacker.bnsdq.ozxfs.rzona-owcwb.kvugl,0.0,0
1759299864,44188,1,1001,1001,1001,1001,1001,1001,1001,1001,15544320,15540224,8630272,135168,757760,1,systemd,S (sleeping),attacker.bnsdq.ozxfs.rzona-owcwb.kvugl,0.8725606087012124,0
1759299869,44270,44222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5492736,5492736,507904,135168,180224,1,sleep,S (sleeping),attacker.bnsdq.ozxfs.rzona-owcwb.kvugl,0.0,0
