timestamp,pid,ppid,real_uid,effective_uid,saved_uid,filesystem_uid,real_gid,effective_gid,saved_gid,filesystem_gid,vm_peak,vm_size,vm_hwm,vm_stk,vm_data,threads,name,state,device_id,cpu,malicious
1759299868,36839,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,17301504,135168,45826048,5,discern-proc-so,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,2.293165583471581,0
1759299868,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234930176,169357312,10833920,1056768,19697664,1,systemd,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,1.521976646277045,0
1759299868,3366,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1954459648,1931546624,36614144,135168,175190016,14,discern-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,1.0753557851702604,0
1759299868,41897,1,1001,1001,1001,1001,1001,1001,1001,1001,15548416,15548416,8777728,135168,765952,1,systemd,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,0.7246580354733466,0
1759299868,41883,1,101,101,101,101,102,102,102,102,16568320,16564224,7393280,135168,626688,1,systemd-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,0.3891067369752501,0
1759299873,36839,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,17301504,135168,45826048,5,discern-proc-so,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,2.296134759526095,0
1759299873,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234930176,169345024,10833920,1056768,19685376,1,systemd,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,1.5209542397506002,0
1759299873,3366,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1954459648,1931546624,36614144,135168,175190016,14,discern-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,1.0743825079394445,0
1759299873,41963,1,101,101,101,101,102,102,102,102,16568320,16568320,7356416,135168,630784,1,systemd-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,0.5674584790734896,0
1759299873,41897,1,1001,1001,1001,1001,1001,1001,1001,1001,15548416,15548416,8777728,135168,765952,1,systemd,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,0.3230382707278103,0
1759299878,36839,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,17301504,135168,45826048,5,discern-proc-so,R (running),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,2.3032087165711492,0
1759299878,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234930176,169345024,10833920,1056768,19685376,1,systemd,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,1.5220266430577973,0
1759299878,3366,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1954459648,1931546624,36614144,135168,175190016,14,discern-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,1.0737436409446468,0
1759299887,42235,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264357376,1264357376,16424960,135168,45563904,4,discern-proc-so,R (running),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,4.8185495306765285,0
1759299887,42217,1,101,101,101,101,102,102,102,102,16568320,16564224,7417856,135168,626688,1,systemd-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,1.6391175463633332,0
1759299887,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234930176,169238528,10833920,1056768,19578880,1,systemd,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,1.5237826459581092,0
1759299887,3366,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1954459648,1931546624,36614144,135168,175190016,14,discern-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,1.0714706427127203,0
1759299887,380,1,103,103,103,103,109,109,109,109,122613760,122613760,112037888,135168,114884608,1,dbus-daemon,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,0.28675837908511853,0
1759299892,42235,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,17022976,135168,45826048,4,discern-proc-so,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,2.512571212876235,0
1759299892,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234930176,169361408,10833920,1056768,19701760,1,systemd,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,1.5231263193017706,0
1759299892,3366,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1954459648,1931546624,36614144,135168,175190016,14,discern-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,1.0705152115520717,0
1759299892,42275,1,101,101,101,101,102,102,102,102,16568320,16564224,7274496,135168,626688,1,systemd-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,0.6733364212362054,0
1759299892,380,1,103,103,103,103,109,109,109,109,122748928,122748928,112037888,135168,115019776,1,dbus-daemon,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,0.28658841057695045,0
1759299898,42235,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,17022976,135168,45826048,4,discern-proc-so,R (running),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,2.429008477355009,0
1759299898,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234930176,169361408,10833920,1056768,19701760,1,systemd,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,1.5231844326737576,0
1759299898,3366,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1954459648,1931546624,36614144,135168,175190016,14,discern-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,1.0691807190884772,0
1759299898,42344,1,101,101,101,101,102,102,102,102,16568320,16568320,7364608,135168,630784,1,systemd-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,0.9627355584058304,0
1759299898,380,1,103,103,103,103,109,109,109,109,123019264,123019264,112308224,135168,115290112,1,dbus-daemon,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,0.2867764659050338,0
1759299903,42235,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,17022976,135168,45826048,4,discern-proc-so,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,2.336705648539121,0
1759299903,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234930176,169361408,10833920,1056768,19701760,1,systemd,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,1.523241847962437,0
1759299903,3366,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1954459648,1931546624,36614144,135168,175190016,14,discern-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,1.0686103118112997,0
1759299903,42394,1,101,101,101,101,102,102,102,102,16568320,16564224,7319552,135168,626688,1,systemd-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,0.4692033032496238,0
1759299903,380,1,103,103,103,103,109,109,109,109,123154432,123154432,112578560,135168,115425280,1,dbus-daemon,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,0.2866064052752312,0
1759299908,42235,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,17022976,135168,45826048,4,discern-proc-so,R (running),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,2.2897579240814734,0
1759299908,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234930176,169361408,10833920,1056768,19701760,1,systemd,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,1.5233040152437531,0
1759299908,3366,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1954459648,1931546624,36614144,135168,175190016,14,discern-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,1.067288083715911,0
1759299908,42517,1,101,101,101,101,102,102,102,102,16568320,16568320,7368704,135168,630784,1,systemd-network,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,0.4545510420108314,0
1759299908,380,1,103,103,103,103,109,109,109,109,123289600,123289600,112848896,135168,115560448,1,dbus-daemon,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,0.2864378913103423,0
1759299913,42235,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,17022976,135168,45826048,4,discern-proc-so,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,2.2593246670584266,0
1759299913,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234930176,169238528,10833920,1056768,19578880,1,systemd,S (sleeping),router-compromised.bnsdq.ozxfs.rzona-owcwb.kvugl,1.5237110412953727,0
